Company Names,Cars Names,Engines,CC/Battery Capacity (cc),HorsePower (hp),Total Speed (km/h),Performance 0-100 (sec),Cars Prices (USD),Fuel Types,Seats,Torque (Nm)
TOYOTA,HILUX REVO ROCCO,"2.8L,TURBO,DIESEL",2755.0,204.0,175.0,10.0,50000.0,DIESEL,5,500.0
TOYOTA,PROACE VERSO ELECTRIC,ELECTRIC MOTOR,75.0,136.0,130.0,13.5,55000.0,ELECTRIC,7,280.0
TOYOTA,CENTURY SUV,"3.5L,V6,PLUG IN HYBRID",3456.0,406.0,200.0,6.0,170000.0,PETROL,5,500.0
TOYOTA,COROLLA SEDAN HYBRID,"1.8L,HYBRID",1798.0,134.0,180.0,10.0,24000.0,HYBRID,5,300.0
TOYOTA,BZ3,ELECTRIC MOTOR,65.0,241.0,160.0,7.5,35000.0,ELECTRIC,5,340.0
TOYOTA,GR YARIS,"1.6L,TURBOCHARGED INLINE-3",1618.0,268.0,230.0,5.5,45000.0,PETROL,4,390.0
HYUNDAI,SANTA FE,1.6L PETROL + PLUG IN HYBRID SYSTEM,1600.0,253.0,180.0,9.3,50000.0,PETROL/HYBRID,7,420.0
HYUNDAI,IONIQ 5,ELECTRIC MOTOR,72.6,225.0,185.0,7.4,41000.0,ELECTRIC,5,350.0
HYUNDAI,SANTA CRUZ,2.5L TURBOCHARGED INLINE-4,2500.0,281.0,215.0,6.5,40799.0,PETROL,5,400.0
HYUNDAI,KONA,1.6L PETROL,1591.0,147.0,185.0,10.0,20500.0,PETROL/EV,5,400.0
HYUNDAI,ELANTRA,2.0L INLINE-4,2000.0,147.0,210.0,8.3,19950.0,PETROL/HYBRID,5,250.0
NISSAN,URVAN,2.5L TURBO DIESE,,2488.0,140.0,14.0,28000.0,DIESEL,15,356.0
HYUNDAI,IONIQ 6,ELECTRIC MOTOR,53.6,320.0,185.0,5.2,41450.0,ELECTRIC,5,350.0
HYUNDAI,TUCSON,2.5L INLINE-4,2500.0,187.0,180.0,6.1,30500.0,PETROL/HYBRID,5,400.0
HYUNDAI,PALISADE,3.8L V6,3800.0,291.0,240.0,6.3,52000.0,PETROL,7,355.0
HYUNDAI,SONATA,2.5L INLINE-4,2500.0,191.0,240.0,8.0,25000.0,PETROL/HYBRID,5,250.0
HYUNDAI,ACCENT,1.6L INLINE-4,1600.0,120.0,180.0,9.8,15000.0,PETROL,5,151.0
HYUNDAI,VENUE,1.6L INLINE-4,1600.0,121.0,180.0,9.5,18000.0,PETROL,5,240.0
HYUNDAI,KONA ELECTRIC,ELECTRIC MOTOR,39.2,200.0,200.0,6.1,40000.0,ELECTRIC,5,395.0
HYUNDAI,VELOSTER,2.0L INLINE-4,2000.0,275.0,220.0,6.0,25000.0,PETROL,4,264.0
HYUNDAI,NEXO,ELECTRIC MOTOR,1.56,161.0,180.0,7.8,38000.0,HYDROGEN,5,400.0
HYUNDAI,IONIQ,1.6L INLINE-4,1600.0,139.0,160.0,8.5,18000.0,HYBRID/ELECTRIC,5,295.0
HYUNDAI,GENESIS,3.8L V6,3800.0,291.0,240.0,6.3,52000.0,PETROL,5,400.0
HYUNDAI,AZERA,3.3L V6,3300.0,278.0,240.0,6.5,55000.0,PETROL,5,250.0
HYUNDAI,EQUUS,3.3L V6,3300.0,278.0,240.0,6.5,55000.0,PETROL,5,400.0
HYUNDAI,TIBURON,2.0L INLINE-4,2000.0,160.0,200.0,8.2,19000.0,PETROL,4,320.0
HYUNDAI,ELANTRA GT,1.6L TURBO GDI 4-CYLINDER,2000.0,160.0,200.0,8.3,22000.0,PETROL,5,320.0
VOLKSWAGEN,GOLF,1.5L TURBO I4 / ELECTRIC,1498.0,110.0,210.0,8.5,23000.0,PETROL,5,250.0
VOLKSWAGEN,PASSAT,2.0L TURBO I4,1984.0,150.0,210.0,7.8,25000.0,PETROL,5,250.0
VOLKSWAGEN,TIGUAN,2.0L TURBO I4,1984.0,150.0,209.0,8.5,28505.0,"PETROL, HYBRID",7,300.0
VOLKSWAGEN,JETTA,1.5L TURBO I4,1498.0,150.0,210.0,7.7,21995.0,PETROL,5,250.0
VOLKSWAGEN,POLO,1.0L TURBO I3 / 1.6L DIESEL,999.0,80.0,190.0,9.5,18000.0,PETROL,5,175.0
VOLKSWAGEN,ARTEON,2.0L TURBO I4,1984.0,150.0,250.0,5.6,46000.0,PETROL,5,350.0
VOLKSWAGEN,ID.4,ELECTRIC,77.0,201.0,160.0,7.8,39735.0,ELECTRIC,5,310.0
VOLKSWAGEN,UP!,ELECTRIC,32.3,82.0,160.0,13.0,15000.0,PETROL,4,95.0
VOLKSWAGEN,TOUAREG,3.0L V6 TURBO DIESEL / 4.0L V8,2967.0,231.0,235.0,5.9,55000.0,"PETROL, DIESEL",5,600.0
VOLKSWAGEN,SCIROCCO,2.0L TURBO I4,1984.0,125.0,233.0,6.0,35000.0,PETROL,4,350.0
VOLKSWAGEN,BEETLE,2.0L TURBO I4,1984.0,105.0,205.0,7.0,20000.0,PETROL,4,240.0
VOLKSWAGEN,AMAROK,3.0L V6 TURBO DIESEL,2967.0,163.0,180.0,7.9,40000.0,DIESEL,5,550.0
VOLKSWAGEN,T-ROC,2.0L TURBO I4,1984.0,115.0,205.0,7.2,30000.0,PETROL,5,320.0
VOLKSWAGEN,SHARAN,2.0L TURBO I4,1984.0,150.0,200.0,9.3,33000.0,"PETROL, DIESEL",7,280.0
VOLKSWAGEN,CADDY,1.5L TURBO I4,1498.0,102.0,185.0,10.5,28000.0,"PETROL, DIESEL",7,250.0
NISSAN,NV1500,4.0L V6,3954.0,261.0,160.0,9.5,33000.0,PETROL,12,385.0
VOLKSWAGEN,TAIGO,1.5L TURBO I4,1498.0,95.0,183.0,10.0,24000.0,PETROL,5,200.0
VOLKSWAGEN,CALIFORNIA,2.0L TURBO I4,1984.0,150.0,180.0,13.0,70000.0,DIESEL,7,340.0
VOLKSWAGEN,ID.3,ELECTRIC,58.0,204.0,160.0,7.3,35000.0,ELECTRIC,5,310.0
VOLKSWAGEN,ID. BUZZ,ELECTRIC,77.0,204.0,145.0,10.2,59995.0,ELECTRIC,7,310.0
VOLKSWAGEN,GOLF GTI,2.0L TURBO I4,1984.0,245.0,250.0,5.9,31965.0,PETROL,5,350.0
VOLKSWAGEN,GOLF R,2.0L TURBO I4,1984.0,315.0,250.0,4.6,44640.0,PETROL,5,420.0
VOLKSWAGEN,PASSAT ALLTRACK,2.0L TURBO DIESEL I4,1968.0,190.0,220.0,7.8,36000.0,DIESEL,5,400.0
VOLKSWAGEN,POLO GTI,2.0L TURBO I4,1984.0,204.0,238.0,6.7,28000.0,PETROL,5,320.0
VOLKSWAGEN,UP! GTI,1.0L TURBO I3,999.0,115.0,196.0,8.8,20000.0,PETROL,4,200.0
VOLKSWAGEN,T-CROSS,1.0L TURBO I3 / 1.5L TURBO I4,999.0,95.0,200.0,10.2,25000.0,PETROL,5,250.0
VOLKSWAGEN,ID.5,ELECTRIC,77.0,174.0,180.0,8.4,45000.0,ELECTRIC,5,310.0
VOLKSWAGEN,ID. BUZZ CARGO,ELECTRIC,77.0,204.0,145.0,10.2,55000.0,ELECTRIC,3,310.0
VOLKSWAGEN,TOUAREG R,PLUG-IN HYBRID V6,2995.0,462.0,250.0,5.1,70000.0,HYBRID,5,700.0
VOLKSWAGEN,MULTIVAN,PLUG-IN HYBRID / DIESEL I4,1395.0,150.0,190.0,9.4,50000.0,"PETROL, HYBRID",7,350.0
VOLKSWAGEN,POLO BLUEMOTION,1.2L DIESEL I3,1199.0,75.0,190.0,10.5,22000.0,DIESEL,5,250.0
VOLKSWAGEN,GOLF SPORTSVAN,1.5L TURBO I4,1498.0,130.0,210.0,8.9,30000.0,PETROL,5,250.0
VOLKSWAGEN,GOLF ALLTRACK,2.0L TURBO DIESEL I4,1968.0,147.0,210.0,7.1,35000.0,PETROL,5,350.0
VOLKSWAGEN,SCIROCCO R,2.0L TURBO I4,1984.0,280.0,250.0,5.5,40000.0,PETROL,4,350.0
VOLKSWAGEN,TIGUAN ALLSPACE,2.0L TURBO I4,1984.0,184.0,215.0,7.6,35000.0,PETROL,7,320.0
